651,6,轰动日美两国的飞机交易行贿事件，知情人被灭口，记代子被切除脑白质，成为没有痛苦和欢乐的“植物”，请看森村诚一的《黑幕》,2022-11-25 18:00:00,内容提要：故事是围绕着轰动日美两国的飞机交易行贿事件展开的。某公司职员浅见隆司为报杀父夺妻之仇，联合“神偷”“小飞鼠”以和前任首相师冈国尊为代表的政财两界黑势力，展开了一场惊心动魄的生死搏斗。浅见以自己掌握的证据进行讹诈，借以复仇，师冈等人则依仗自己的势力，杀人灭口，惨无人道地残害无辜。它反映了资本主义社会弱肉强食，尔虞我诈的残酷现实。,https://www.bilibili.com/video/BV16K411Z7tv,http://i2.hdslb.com/bfs/archive/0120ec11cf582bdab87be60fad287257b4f217d9.jpg
468,0,风雨桐林寨,2022-11-23 18:00:00,,https://www.bilibili.com/video/BV1Lt4y1T71V,http://i0.hdslb.com/bfs/archive/475c3d30fe9a2a7b1517d90f71efdccc3770b27e.jpg
2801,21,昆仑奴,2022-11-21 18:00:00,,https://www.bilibili.com/video/BV13P4y127ZX,http://i1.hdslb.com/bfs/archive/fbe97a10eda8f3592c485a8ff6e8698511ec76f2.jpg
401,3,胡诌八卦旗——八卦旗里的秘密,2022-11-20 17:45:46,,https://www.bilibili.com/video/BV1iK411d7DJ,http://i0.hdslb.com/bfs/archive/b10607e81d07690aea42209c00d8659de9f6acee.jpg
1331,1,谁是罪人,2022-11-19 18:00:00,,https://www.bilibili.com/video/BV17P411c7GC,http://i0.hdslb.com/bfs/archive/bf15e68b0f848313dabbc25ad2da979f51bafbda.jpg
494,5,血与沙,2022-11-18 18:00:00,,https://www.bilibili.com/video/BV1Lt4y1K7e1,http://i2.hdslb.com/bfs/archive/6f462a78e0e68efc9787a1cad568aecfe5dcd1dc.jpg
1633,7,北游记05-真武伏魔,2022-11-17 18:00:00,,https://www.bilibili.com/video/BV1C24y1f7Ld,http://i0.hdslb.com/bfs/archive/e262bf5df613bc305b83d97cf9373d06edaac8e3.jpg
2247,3,北游记04-收徒三丰,2022-11-16 18:00:00,,https://www.bilibili.com/video/BV1Ve4y1x7Jc,http://i1.hdslb.com/bfs/archive/c6af856a72f6e381cb3780635c9beb949f9bf013.jpg
40479,75,北游记03-龟蛇二将,2022-11-15 18:00:00,,https://www.bilibili.com/video/BV1At4y1K7Zh,http://i0.hdslb.com/bfs/archive/7af93637782c4075f1fd199041a1ac1c96f0a3a9.jpg
1753,9,北游记02-三世修行,2022-11-14 18:00:00,,https://www.bilibili.com/video/BV1JW4y147Sq,http://i1.hdslb.com/bfs/archive/940054b87d2dbc0cfc3236cf631c3464a98dd749.jpg
