1044,4,《“聪明”墨菲特》,2022-12-03 19:28:05,-,https://www.bilibili.com/video/BV1t24y1k7M2,http://i2.hdslb.com/bfs/archive/9130681b2f2a14be6be3f57fdb8a46433b65f991.jpg
11311,3,《聪明内瑟斯》,2022-11-30 19:26:48,-,https://www.bilibili.com/video/BV16P411T7Wn,http://i2.hdslb.com/bfs/archive/233dbe3fa24167394afd851791b25e1073d35e22.jpg
10789,10,《大聪明墨菲特》,2022-11-26 18:12:13,-,https://www.bilibili.com/video/BV1A84y1y7ha,http://i2.hdslb.com/bfs/archive/335924f6105436c542eee436a7e3b3e718927440.jpg
284,0,《聪明的石头人》,2022-11-24 19:53:27,-,https://www.bilibili.com/video/BV1fe4y1p7pz,http://i1.hdslb.com/bfs/archive/9fa8003a0204ef1d3d50155c15390b565b853405.jpg
270,1,《聪明的墨菲特》,2022-11-23 18:24:11,-,https://www.bilibili.com/video/BV1t84y1C7qG,http://i0.hdslb.com/bfs/archive/2c077dbe4449aad8b0fd6b8dae496995cecef78f.jpg
1314,4,这就是心之钢吗,2022-11-22 19:01:42,-,https://www.bilibili.com/video/BV1a24y1175D,http://i2.hdslb.com/bfs/archive/37829310825e846c67183face8eed0717e386b1c.jpg
62087,23,这招谁来取个名,2022-11-17 18:18:10,-,https://www.bilibili.com/video/BV14Y411f7bC,http://i2.hdslb.com/bfs/archive/b802a065a1c8d75baac37be33895b45230f0dcd7.jpg
115377,14,《大聪明墨菲特》,2022-11-16 17:58:49,-,https://www.bilibili.com/video/BV19v4y1m7GA,http://i2.hdslb.com/bfs/archive/a19bfc5a916451b5f1823700751799460e664a2f.jpg
1130,1,求大佬帮忙剪的悲伤亿点点,2022-11-15 19:01:37,-,https://www.bilibili.com/video/BV11t4y1N7us,http://i1.hdslb.com/bfs/archive/79ac7670552d2c74b54e7a5db69b6d0d016f3953.jpg
222162,127,全网寻找这个万豪，就问他懵不懵啊,2022-11-10 12:22:30,-,https://www.bilibili.com/video/BV1oK411m7HX,http://i2.hdslb.com/bfs/archive/56eddc600050dc3c655992a5669dfd0aa28e62f8.jpg
325867,174,全网寻找这个猴子,2022-11-04 18:02:54,-,https://www.bilibili.com/video/BV1nd4y1w7zk,http://i2.hdslb.com/bfs/archive/bfd7ccddb1536890c7db82bc2ddf37d9b80a48f9.jpg
1114014,532,《联盟地板》,2022-11-03 17:53:18,-,https://www.bilibili.com/video/BV1Gd4y1C7CA,http://i2.hdslb.com/bfs/archive/4f2a943ce15f53e7bef56d4ac7df2b4342f4fb90.jpg
86196,61,这波谁给取个名,2022-11-02 18:00:57,-,https://www.bilibili.com/video/BV168411Y73C,http://i0.hdslb.com/bfs/archive/97e5e770e534a81f1060173ce492bfc8754f0531.jpg
60661,11,我以为我是石头中的例外,2022-11-01 18:45:21,-,https://www.bilibili.com/video/BV1F84y1q7uJ,http://i2.hdslb.com/bfs/archive/0c9f31177cfbdb37e0831540d912e3ed16d02471.jpg
